Camaras;o1;o2;o3;o4;o5;o6;Ecosistema original;Ecosistema;sensor;Alturact;;
P2;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.6;;
P4;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.5;;
P5;0;0;0;0;0;0;Tundra;Tundra;8;0.5;;
P6;0;0;0;0;0;0;Tundra;Tundra;6;0.3;;
P7;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.5;;
P10;1;0;1;0;0;0;Bosque deciduo;Bosque;4;0.5;;
P11;0;0;0;0;0;0;Matorral bajo - Tundra;Matorral;8;0.4;;
P12;NA;NA;NA;NA;NA;NA;Tundra;Tundra;8;0.5;;
P13;0;0;0;0;0;0;Tundra;Tundra;6;0.3;;
P14;0;0;1;0;0;0;Bosque deciduo;Bosque;3;0.3;;
P15;0;0;1;0;0;0;Bosque deciduo;Bosque;4;0.5;;
P16;1;0;0;0;0;1;Matorral bajo;Matorral;8;0.5;;
P17;0;1;0;0;0;1;Tundra;Tundra;8;0.3;;
P18;0;0;0;0;0;0;Tundra;Tundra;6;0.3;;
P19;1;0;1;1;0;0;Bosque deciduo;Bosque;4;0.6;;
P20;0;0;0;0;0;0;Alto Andino;Matorral;8;0.3;;
P21;0;0;1;0;0;0;Alto Andino;Matorral;8;0.15;;
P22;0;0;0;0;0;0;Tundra;Tundra;6;0.3;;
P23;0;0;1;0;0;0;Bosque deciduo;Bosque;8;0.3;;
P24;1;0;0;0;0;0;Matorral bajo;Matorral;6;0.3;;
P27;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.4;;
P28;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P29;0;0;0;0;0;0;Tundra;Tundra;8;0.5;;
P30;1;0;0;0;0;0;Tundra;Tundra;8;0.5;;
P31;0;1;0;1;0;1;Bosque deciduo;Bosque;4;0.5;;
P32;0;0;0;0;0;0;Tundra;Tundra;4;0.5;;
P35;1;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P36;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P37;0;0;0;0;0;1;Bosque deciduo;Bosque;5;0.6;;
P38;0;0;0;0;0;1;Bosque siempreverde - Tundra;Bosque;4;0.5;;
P34;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.6;;
P40;0;0;0;1;0;0;Bosque deciduo;Bosque;4;0.5;;
P42;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.5;;
P43;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.6;;
P44;0;0;0;0;0;0;Bosque deciduo;Bosque;5;0.5;;
P45;0;0;0;0;0;0;Bosque deciduo;Bosque;7;0.5;;
P46;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.7;;
P47;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P48;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.6;;
P49;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P50;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.6;;
P51;0;0;NA;NA;NA;NA;Matorral bajo;Matorral;6;0.7;;
P52;0;1;NA;NA;NA;NA;Matorral bajo;Matorral;6;0.7;;
P53;0;0;0;0;0;1;Bosque deciduo;Bosque;8;0.5;;
P55;0;1;0;0;0;0;Bosque deciduo;Bosque;3;0.5;;
P56;0;0;0;0;0;0;Bosque deciduo;Bosque;5;0.5;;
P57;1;0;0;0;0;0;Bosque deciduo;Bosque;6;0.4;;
P58;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.7;;
P59;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.8;;
P60;0;0;0;0;0;0;Bosque deciduo;Bosque;7;0.5;;
P61;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.6;;
P62;0;0;0;0;0;0;Bosque deciduo;Bosque;6;0.8;;
P63;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.5;;
P64;0;0;0;0;0;0;Bosque deciduo;Bosque;3;0.5;;
P65;0;0;0;0;0;0;Bosque deciduo;Bosque;4;0.5;;
P66;0;0;0;0;0;0;Bosque deciduo;Bosque;5;0.5;;
P67;0;0;0;0;0;0;Bosque deciduo;Bosque;5;0.35;;
P68;0;0;0;0;0;0;Bosque deciduo;Bosque;8;0.4;;
P69;0;0;0;0;0;0;Bosque deciduo;Bosque;5;0.4;;
P70;0;0;0;0;0;0;Bosque deciduo;Bosque;3;0.5;;
